"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2253","CT-PIX-015 - PIX sem autenticação retorna 401","Tests","2026-08-20","passed","2026-08-20","Pix Security","Pix","",""
"","2009","CT-PIX-006 - Consultar Saldo do Remetente","Tests","2026-08-20","passed","2026-08-20","Pix Saldos","Pix","",""
"","1614","CT-EXT-002 - GET Extrato usuário sem movimentações","Tests","2026-08-20","passed","2026-08-20","Extrato Sem Movimentacao","Extrato","",""
"","1623","CT-AUTH-001 - POST Login retorna token JWT","Tests","2026-08-20","passed","2026-08-20","Login Post","Auth","",""
"","1415","CT-PIX-005 - Consultar Saldo do Destinatário","Tests","2026-08-20","passed","2026-08-20","Pix Saldos","Pix","",""
"","44","CT-CONTA-002 - GET Conta sem token retorna 401","Tests","2026-08-20","passed","2026-08-20","Conta Negative","Conta","",""
"","1977","CT-CONTA-001 - GET Conta autenticada retorna 200","Tests","2026-08-20","passed","2026-08-20","Conta Get","Conta","",""
"","11513","CT-PIX-007 - Validar Fluxo Completo do PIX","Tests","2026-08-20","passed","2026-08-20","Pix Post","Pix","",""
"","110","CT-CLI-003 - GET Cliente com token invalido retorna 401","Tests","2026-08-20","passed","2026-08-20","Cliente Token Invalido 401","Cliente","",""
"","1336","CT-PIX-002 - Login do Destinatário","Tests","2026-08-20","passed","2026-08-20","Pix Destinatario","Pix","",""
"","1626","CT-SAQ-001 - Realizar Saque Com Valor Válido","Tests","2026-08-20","passed","2026-08-20","Saque Post","Saque","",""
"","121","CT-HEALTH-001 - GET Health retorna API online","Tests","2026-08-20","passed","2026-08-20","Health Get","Health","",""
"","1432","CT-DEP-003 - Realizar Depósito Com Valor Negativo","Tests","2026-08-20","passed","2026-08-20","Deposito Negative","Deposito","",""
"","2599","CT-PIX-015 - PIX com token inválido 401","Tests","2026-08-20","passed","2026-08-20","Pix Security","Pix","",""
"","3394","CT-PIX-010 - PIX para própria conta não permitido","Tests","2026-08-20","passed","2026-08-20","Pix Negative","Pix","",""
"","1830","CT-PIX-003 - Consultar Destinatário","Tests","2026-08-20","passed","2026-08-20","Pix Destinatario","Pix","",""
"","401","CT-SAQ-007 - Realizar Saque com token invalido","Tests","2026-08-20","passed","2026-08-20","Saque Security","Saque","",""
"","158","CT-DEP-006 - Realizar Depósito Sem Token","Tests","2026-08-20","passed","2026-08-20","Desosito.Security","Deposito","",""
"","2074","CT-SAQ-004 - Realizar Saque Com Valor Negativo","Tests","2026-08-20","passed","2026-08-20","Saque Negative","Saque","",""
"","1424","CT-SAQ-006 - Realizar Saque sem token","Tests","2026-08-20","passed","2026-08-20","Saque Security","Saque","",""
"","3645","CT-PIX-012 - PIX com valor negativo","Tests","2026-08-20","passed","2026-08-20","Pix Negative","Pix","",""
"","3723","CT-PIX-011 - PIX com valor igual a zero","Tests","2026-08-20","passed","2026-08-20","Pix Negative","Pix","",""
"","1667","CT-PIX-008 - PIX para CPF inexistente retorna 404","Tests","2026-08-20","passed","2026-08-20","Pix Negative","Pix","",""
"","1462","CT-DEP-004 - Realizar Depósito Com Valor Caracteres","Tests","2026-08-20","passed","2026-08-20","Deposito Negative","Deposito","",""
"","1508","CT-DEP-001 - Realizar Depósito Com Valor Válido","Tests","2026-08-20","passed","2026-08-20","Deposito Post","Deposito","",""
"","1909","CT-EXT-001 - GET Extrato autenticado retorna 200","Tests","2026-08-20","passed","2026-08-20","Extrato Get","Extrato","",""
"","234","CT-CLI-002 - GET Cliente sem token retorna 401","Tests","2026-08-20","passed","2026-08-20","Cliente Negative 401","Cliente","",""
"","877","CT-DEP-007 - Realizar Depósito Com Token Inválido","Tests","2026-08-20","passed","2026-08-20","Desosito.Security","Deposito","",""
"","1454","CT-SAQ-003 - Realizar Saque Com Valor Zero","Tests","2026-08-20","passed","2026-08-20","Saque Negative","Saque","",""
"","3071","CT-PIX-013 - PIX com simulação de erro","Tests","2026-08-20","failed","2026-08-20","Pix Negative","Pix","",""
"","1550","CT-DEP-002 - Realizar Depósito Valor Zero","Tests","2026-08-20","passed","2026-08-20","Deposito Negative","Deposito","",""
"","1861","CT-SAQ-005 - Realizar Saque Com Método GET","Tests","2026-08-20","passed","2026-08-20","Saque Negative","Saque","",""
"","3672","CT-AUTH-002 - POST Login inválido retorna erro","Tests","2026-08-20","passed","2026-08-20","Login Negative","Auth","",""
"","1801","CT-SAQ-002 - Realizar Saque Maior Que Saldo","Tests","2026-08-20","passed","2026-08-20","Saque Negative","Saque","",""
"","3930","CT-PIX-009 - PIX com saldo insuficiente retorna 400","Tests","2026-08-20","passed","2026-08-20","Pix Negative","Pix","",""
"","1740","CT-CLI-001 - GET Cliente autenticado retorna 200","Tests","2026-08-20","passed","2026-08-20","Cliente Get","Cliente","",""
"","2385","CT-DEP-005 - Validar Depósito sem tolken","Tests","2026-08-20","passed","2026-08-20","Deposito Negative","Deposito","",""
